type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Ground,nan,4,0,0,0,50,62,39,26,47,34,292,0.7321412072078238,2.677911343167885,130,45.84470044393598,8302,130,1,1,5,7,3
Electric,Steel,9,0,0,0,100,72,129,127,115,76,743,1.8387328511963426,578.6818285400659,19,4.123636902919562,27380,-11,1,1,6,6,5
Ground,Fighting,5,0,0,0,76,86,100,63,60,97,292,0.5851261162513709,4.962599391426847,105,3.966902404845313,3410,64,6,1,9,4,4
Grass,nan,1,0,0,0,47,64,37,46,42,32,253,0.41924610559178277,7.868541662663623,238,5.687105784040148,5233,255,3,1,3,12,3
Rock,Fighting,7,0,0,1,84,121,77,103,65,53,645,9.523417094791643,65.97645366084659,40,3.712312021620403,30024,38,1,0,5,9,5
Psychic,Water,4,0,0,0,72,65,72,95,88,4,361,1.353242189438178,5.311924815804794,246,4.853480157593235,4530,255,4,0,3,11,3
Normal,nan,9,0,0,0,51,60,45,37,57,28,314,0.6471631740695574,-4.489245871381998,123,4.0210281856004375,3222,134,3,1,2,17,1
Fire,Poison,7,0,0,0,48,54,84,67,60,81,381,1.2764623743565395,23.77932506262276,54,5.478526775643256,8939,138,4,0,6,9,4
Dragon,Steel,9,1,0,0,145,135,136,98,91,88,524,2.105822880593438,61.63244948045566,3,5.212834570944395,7164,12,3,1,3,6,5
Normal,nan,5,0,0,0,68,102,82,54,62,43,442,0.5496641940266216,16.299726114665134,50,5.638828428122405,5086,52,2,0,0,14,2
Normal,nan,5,0,0,0,55,94,60,40,82,43,483,0.8238824744457562,73.38221568566023,37,5.143691246007968,3540,116,3,0,2,10,1
Dragon,Dragon,7,0,0,0,48,84,53,64,84,102,602,1.7697889588290907,22.902677123052143,8,5.26461620115317,30584,11,1,0,5,7,7
Fighting,nan,4,1,0,0,109,119,94,122,95,67,570,1.6517933970853726,83.74463285508811,-15,9.22177910250969,18229,-8,2,0,3,14,3
Dark,Ghost,9,0,0,0,132,142,119,104,128,110,681,30.42738588291807,94.09567125361033,-4,5.24726753466829,7230,8,1,1,8,7,5
Rock,Ground,6,0,0,0,44,86,155,48,69,36,462,1.5020208415979417,17.4336590656861,136,5.73674173803459,5323,76,3,2,9,6,4
Electric,Dark,8,0,0,0,56,60,70,56,84,46,295,0.4942154673632157,-6.89658667034079,251,18.623832617822266,4966,116,4,1,5,5,3
Poison,nan,2,0,0,0,31,42,35,78,60,33,257,0.5479987959778213,-8.772548504997443,233,5.524136823169174,3287,190,3,0,3,12,2
Water,Ground,5,0,0,0,78,121,43,62,83,64,470,1.1628344219533506,73.36080102040434,107,4.725159090561396,4900,66,4,1,1,16,1
Electric,nan,8,0,0,0,83,39,57,37,69,74,443,0.2983839375223897,44.12548545383742,40,53.404337319194255,2195,245,4,0,2,12,4
Rock,Psychic,5,0,0,0,58,87,66,35,42,49,332,1.6749875746136094,16.906769416707828,50,51.34395131359293,8852,43,3,0,6,11,3
Water,nan,4,0,0,0,66,45,81,73,23,13,481,1.3657354386422556,5.450632926200544,48,87.1026537673442,3467,43,2,0,4,9,3
Poison,nan,4,0,0,0,55,71,69,49,67,71,470,0.488118132501909,40.06169798303233,45,4.943822577973515,7341,7,2,1,5,9,3
Rock,Bug,2,0,0,0,55,73,43,47,45,58,304,0.27981020992466693,23.78563810698958,177,5.951288255868075,5121,108,3,1,3,9,4
Rock,nan,8,0,0,0,55,20,81,50,40,56,482,1.4331372451679125,20.877464446175004,45,98.71805894399526,1772,50,2,0,4,9,2
Dragon,Psychic,3,1,0,0,95,99,161,66,83,50,598,1.7395610739549008,135.22816181053045,-1,7.652501794233734,22832,10,2,0,6,10,3
Normal,nan,3,0,0,0,70,67,19,22,30,39,262,0.3317109670848629,-10.17503679113141,241,50.524379175253316,5291,181,3,1,1,14,1
Psychic,Ice,7,0,0,0,52,68,38,55,87,39,293,1.945377516488955,10.727351553899833,119,5.181759376588694,7233,203,1,0,2,7,4
Flying,Dark,5,0,0,0,120,65,91,40,54,39,395,1.1760400324715874,84.94787134712728,128,4.736169678445477,7919,123,3,1,8,8,4
Dragon,Ground,4,0,0,0,101,130,86,45,95,115,527,3.651650420910858,63.37645837852387,6,4.92089506898875,5094,43,1,1,3,6,4
Fire,Normal,7,0,0,0,31,39,24,32,39,61,273,0.45415808925456647,-4.236180884968265,57,47.950975072416526,5800,188,3,0,5,9,4
Grass,nan,8,0,0,0,65,77,64,50,63,42,297,0.6477902377767777,13.327578120388418,50,5.560795319416397,4991,188,3,1,5,11,2
Psychic,nan,5,0,1,0,68,113,91,105,62,50,583,0.675757673496886,25.44334996435206,-5,3.896706376358729,31441,18,1,0,3,13,2
Dragon,Ice,7,0,0,0,37,54,64,46,59,98,476,0.8239919471478501,20.370293052011476,55,85.35532986972086,5944,44,2,0,5,14,3
Poison,nan,8,1,0,0,72,76,108,40,105,64,537,1.1400264971634697,175.92460571444724,-18,5.351397866387999,13125,12,4,0,3,13,3
Dark,Dragon,8,1,0,0,130,98,128,111,118,90,607,1.9323258882726422,88.63787542668962,-32,5.717851001359943,12576,-5,1,0,6,11,6
Rock,Fighting,7,0,0,1,51,78,135,63,58,34,535,1.3222811087268984,58.91430945113694,-1,5.24239595886014,6463,46,1,2,8,6,4
Psychic,nan,2,0,0,0,63,38,52,25,73,8,244,1.2439131372923637,5.76295657875699,47,4.848720075548631,7526,47,2,0,4,9,3
Grass,nan,4,0,0,0,88,52,119,46,24,33,472,0.9608421905974388,52.27800037736867,42,4.766817076273064,4992,56,4,1,2,7,2
Bug,Bug,5,0,0,0,65,85,87,88,83,61,527,1.23042170402503,67.94893942033892,46,-0.4848195766155676,5065,88,4,2,8,5,4
Grass,Ghost,1,0,0,0,132,93,77,88,112,96,511,1.8053362975406673,44.38015623031088,15,5.200023196374644,5139,10,6,0,6,7,4
Normal,nan,1,0,0,0,92,65,58,67,94,93,462,0.8055408712337275,2.4292645320131427,39,3.453504507471095,5278,267,3,0,0,17,1
Psychic,nan,1,0,0,0,69,81,72,131,95,35,477,1.9242511998558167,577.031965691215,49,5.035867040806712,5320,51,8,2,6,7,5
Fighting,nan,4,0,0,0,92,47,63,63,47,86,465,0.4510683509905451,6.311806730062184,42,77.48211806915519,3858,42,2,0,4,12,3
Dragon,nan,5,0,0,0,104,71,59,62,105,67,484,0.9134688731211513,8.264042422671572,48,5.747992540874219,7261,45,2,0,2,12,3
Bug,nan,2,0,0,0,68,103,46,41,47,34,273,0.4891126636088373,5.006868758813669,124,4.987001902638777,5401,189,3,1,2,13,2
Dragon,nan,3,0,0,0,73,104,74,47,102,38,484,1.6928180628868996,82.72711371688168,44,4.680075699879603,5517,48,4,0,1,12,2
Poison,nan,8,0,0,0,101,78,86,64,79,48,286,1.8211001667116165,103.3286589374092,51,5.363319604002969,5170,124,3,2,0,13,6
