type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Ghost,Water,1,0,0,0,64,59,94,57,75,44,385,1.1319968996214371,64.44688353809926,83,4.663015736383283,5521,86,3,2,5,6,6
Grass,Bug,1,0,0,0,84,110,158,88,65,51,514,1.4449626030362448,63.80355464084341,44,95.11670889560553,5174,36,4,0,6,9,4
Rock,nan,1,0,0,0,106,105,135,118,112,47,528,3.647886107038512,68.32544837274318,44,4.4484783706211655,5296,71,2,1,5,6,2
Grass,Dark,1,0,0,0,132,112,105,113,81,55,497,1.7835240697791035,75.29257581882266,53,5.308581083097148,3740,46,2,0,6,5,3
Normal,Ground,1,0,0,0,47,126,86,60,70,140,604,1.6356300017912602,34.53394160377062,72,4.9977533209096965,4975,76,3,2,3,13,5
Normal,nan,1,0,0,0,61,45,44,66,75,82,318,0.6611696714840656,-3.3804248615486028,130,47.82873188048967,5651,191,3,1,0,11,1
Electric,Flying,1,0,0,0,80,73,102,79,64,59,351,1.1900995272852404,16.16891184650811,52,5.765599331662148,3146,72,4,1,5,7,4
Steel,Ghost,1,0,0,0,55,65,83,29,40,15,264,1.0702568540056063,11.58000800475408,40,4.1912971974991615,4927,42,7,2,5,11,4
Steel,Psychic,1,0,0,0,81,120,165,126,100,29,535,1.682184481123286,68.15210026821919,80,4.934037246075352,5136,80,7,1,9,6,4
Poison,Flying,1,0,0,0,55,87,74,55,130,41,509,0.42880820277947274,-7.166711054212078,82,5.031847956332563,5145,91,3,1,5,6,5
Water,nan,1,0,0,0,85,62,87,38,73,33,499,1.7004933631575347,63.53748251874295,47,3.460867797517473,4866,49,1,0,2,13,4
Poison,nan,1,0,0,0,29,56,55,62,22,16,195,0.5209001408603711,-8.083684332734586,54,4.646049124014915,4048,193,2,0,5,9,3
Electric,nan,1,0,0,0,97,102,64,80,86,105,498,3.3245227232479997,91.69898099559975,19,4.496711545363012,5365,48,4,1,0,14,1
Normal,Ground,1,0,0,0,69,129,68,56,83,82,494,4.282685505926526,77.74814398829011,64,4.365506481190787,5446,2,4,1,1,16,1
Rock,Flying,1,0,0,0,73,100,105,74,61,44,606,1.752466087839651,16.350010735671532,39,4.486975284718095,5532,41,1,1,6,5,6
Bug,Flying,1,0,0,0,52,35,65,35,44,38,528,0.4714714512944955,8.921050651274196,44,5.49379523014194,5013,179,2,0,5,9,4
Fire,nan,1,0,0,0,71,107,58,59,61,61,322,0.952286486857167,19.967947983368138,63,5.322531926442671,5225,242,4,2,3,7,2
Flying,nan,1,0,0,0,57,123,75,97,85,69,515,1.8746543282680412,9.477911184511905,41,85.54240275007005,3900,40,3,0,5,9,4
Grass,nan,1,0,0,0,73,70,47,64,43,80,236,0.4370371297803197,-9.209195164882184,40,92.99225937242278,5089,36,4,0,4,9,2
Electric,nan,1,0,0,0,92,100,129,64,91,30,464,1.028206632958794,52.84778245152772,49,4.034754857033162,5174,59,4,1,1,12,1
Fighting,nan,1,0,0,0,65,55,93,59,100,99,489,0.8678758173373371,-1.864445146479527,36,86.42455768393393,5422,42,2,0,4,13,2
Fire,Dragon,1,0,0,0,95,115,46,88,108,87,700,2.3344179967990866,80.27439265563513,39,4.754769307469675,33377,-8,2,0,3,12,2
Fire,Ground,1,0,0,0,126,104,107,56,140,58,532,1.5335790590531866,124.21263244849794,80,5.156576743383178,4885,45,3,2,5,6,3
Psychic,Water,1,0,0,0,107,46,69,64,76,83,506,1.792629832520136,115.15889069187448,40,4.844856627319505,3717,78,2,0,3,11,3
Bug,nan,1,0,0,0,49,59,109,70,69,63,494,1.331723814685543,12.033098976669208,39,50.964466143171656,4964,44,2,0,6,13,5
Fire,nan,1,0,0,0,97,57,94,80,92,38,526,1.172775897422449,31.17408995636945,42,3.898699446269313,4945,89,4,0,5,8,4
Dark,Flying,1,0,0,0,67,90,163,71,66,77,509,3.1045339998787593,48.702296374982794,68,4.761412383335117,5549,-1,3,1,10,4,3
Electric,Dragon,1,0,0,0,56,90,60,77,72,77,497,1.2256861480410444,1.2585842586475309,123,52.24229450473499,5188,46,3,1,3,11,3
Rock,Fighting,1,0,0,0,82,87,133,29,105,92,509,1.4330815438638924,7.051671475609415,50,5.683069038647887,5177,14,7,0,5,11,3
Bug,Ghost,1,0,0,0,52,121,134,85,87,66,525,0.521116065531072,50.31252391479438,131,4.352812665875019,5272,46,3,1,1,7,3
