type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Psychic,Poison,3,0,0,0,100,78,76,77,106,34,611,3.312739558397795,87.30422997750524,78,7.7864906060521974,4547,95,2,0,3,12,1
Water,Fairy,8,0,0,0,87,102,93,56,53,3,463,2.548955191128575,241.22304790430994,130,7.125431825391141,5293,46,3,0,5,6,3
Fire,nan,6,0,0,0,19,59,37,52,135,28,423,0.9426685435607016,-31.25917924461983,234,7.153870146478624,3771,254,2,0,4,15,4
Fire,nan,1,0,0,0,29,32,11,26,67,23,442,1.248048733737079,15.204657690860492,144,109.09470220635379,6146,88,3,0,4,17,4
Steel,nan,4,1,0,0,155,53,43,145,84,63,643,5.158863515704651,121.40485650474213,41,7.635512581415941,8618,36,10,1,2,12,2
Normal,nan,5,0,0,0,104,59,45,87,110,19,388,3.8829098531840205,139.85149910937434,54,17.863826879640687,3966,49,1,0,5,6,5
Rock,nan,7,0,1,0,116,95,96,86,124,84,474,0.5074040763958653,23.384545444407635,55,5.599729917867564,4671,52,4,0,9,12,2
Flying,Flying,7,0,0,1,70,102,110,160,105,62,487,1.8164741299499894,177.46151248370418,47,6.22171545516885,39050,30,7,2,4,8,5
Fire,Fire,9,1,0,0,133,135,201,125,119,107,587,2.4873660085517946,339.3884654013279,22,6.762937013339391,40111,15,1,0,6,2,4
Fairy,Water,7,0,0,0,85,57,54,184,124,92,347,3.0701139741648196,33.84411365109641,-19,9.221549465596297,2752,88,1,0,3,3,6
Steel,nan,9,0,0,0,89,61,40,38,47,7,404,1.9479388658258638,14.94464233710408,51,6.050645296065918,4269,33,3,1,5,2,3
Psychic,Psychic,7,0,1,0,129,136,141,165,118,70,386,0.566553757106214,29.45277574660622,-5,7.816120060255585,33315,-10,1,0,8,8,4
Flying,nan,3,0,0,0,96,38,57,57,59,20,479,1.035151663326767,-15.485049439907575,56,7.704544897110247,2592,224,3,0,4,12,2
Water,nan,2,0,0,0,73,55,40,34,43,66,526,0.7133391979935637,39.19545204565956,55,7.43510088150771,5462,46,3,0,2,13,5
Water,Fairy,4,0,0,0,56,137,78,55,90,123,539,5.252617894336867,129.30684796945636,40,18.152762394842497,3470,53,3,0,-1,5,5
Psychic,Water,9,0,1,0,67,141,25,170,104,23,527,4.267195682762588,325.9408440623026,-1,6.577690044454341,33361,47,1,0,2,5,6
Water,nan,2,0,0,0,107,32,78,41,59,9,342,1.215709520339554,-19.87131698285784,182,7.64619014157366,5935,88,3,0,4,16,4
Psychic,nan,1,0,0,0,141,7,52,42,114,66,382,0.8618870916548212,0.20543053569890546,208,31.371536877265243,3321,219,3,0,3,12,3
Electric,Fighting,9,0,0,0,139,128,154,127,94,29,518,1.7141622727558783,150.26769778910995,53,8.74544478753652,4749,83,3,0,8,10,4
Dragon,Grass,6,0,0,0,109,37,67,29,83,58,536,1.197438698030206,-1.1371340083339465,36,8.270979299294437,4292,38,2,0,3,9,5
Ground,nan,2,0,0,0,82,89,92,69,87,10,455,0.646950131475724,47.61723323958214,47,61.80743828491994,37042,29,3,0,6,2,2
Normal,nan,3,0,0,0,107,82,46,36,43,8,415,0.7621257671059112,2.4981584363220737,185,8.29097603687603,12230,264,3,0,0,12,3
Rock,nan,7,0,0,0,109,151,137,69,118,70,622,5.912853850165025,78.08521766712977,20,7.454975160785354,31520,60,1,0,7,8,3
Fighting,nan,7,0,0,0,73,99,83,94,78,22,483,2.408542758931994,84.24103026573937,44,7.7284183803423065,6185,34,3,2,5,12,1
Normal,Ground,8,0,0,0,66,109,130,36,83,158,488,1.5566374672399423,102.05152195950288,43,7.609186486619203,3746,105,1,1,0,3,3
Dragon,nan,4,0,0,0,65,12,76,28,59,81,534,1.2389622958373285,113.19316347466733,55,4.930558759091291,2790,146,3,0,3,12,1
Electric,nan,5,0,0,0,120,37,76,115,126,74,485,1.4585883672351156,83.74437943262316,-5,9.156498695742238,3185,49,10,0,3,8,2
Dragon,nan,2,0,0,0,43,57,33,46,94,4,490,1.044541331104615,-7.456360793825008,53,102.05641272316288,4677,87,3,0,1,11,1
