type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Normal,nan,1,0,0,0,51,95,56,42,65,17,423,0.7042710683126132,4.898804668298386,54,4.9937673739998365,5058,63,2,0,0,9,6
Grass,Steel,1,0,0,0,58,38,75,79,107,71,387,0.3218452474726271,-0.6392860233094346,212,4.7752307190434236,1394,94,3,2,3,4,1
Grass,Fighting,1,0,0,0,156,110,120,131,118,62,545,0.6927508953640777,0.6921031745446982,22,11.624159291840925,36932,45,1,2,10,9,4
Bug,Fire,1,0,0,0,109,111,140,143,84,99,500,2.208627181873156,21.6709190684374,46,5.952145535776672,33634,195,3,2,3,7,3
Steel,Fairy,1,0,0,0,135,65,62,6,103,91,517,1.7286134566006255,62.90709478699284,32,6.450976278552314,32897,53,4,0,5,6,8
Water,nan,1,0,0,0,73,12,49,14,71,9,337,1.2787701809357976,21.03632082570745,217,7.735146552526232,3349,253,3,0,3,11,5
Water,nan,1,0,0,0,43,101,12,95,98,2,384,0.8602534261636967,0.5570064137715427,254,60.306755193100386,2997,54,9,0,1,12,3
Psychic,Fire,1,0,0,0,192,73,75,4,44,-10,324,0.8489226185406166,22.789363879280916,38,104.9976307336978,3858,43,3,0,0,12,1
Fighting,Flying,1,0,0,0,174,120,39,39,57,4,523,0.662875213925431,2.729221754234077,45,53.1993668500809,1182,39,3,0,4,6,2
Bug,Steel,1,0,0,0,82,51,71,45,134,53,391,0.7746473841842394,441.9752284951136,295,94.75764802110515,6125,38,3,0,3,13,2
Fire,nan,1,0,0,0,114,86,149,90,104,116,408,2.4254799663073414,107.362476583712,245,6.429733997893271,26160,37,1,1,4,7,5
Bug,Grass,1,0,0,0,282,77,81,83,94,55,585,2.5516095369453193,21.6562751636983,45,6.491875342204731,8094,52,2,0,4,10,0
Fighting,nan,1,0,0,0,145,131,63,52,119,19,549,0.32354874052047855,-8.187562028953627,90,5.490309906022209,2733,128,4,0,2,12,1
Psychic,Ghost,1,0,0,0,50,101,148,110,95,122,420,2.3119557871128795,174.9115224327611,41,7.014708271459198,4847,56,4,0,4,5,3
Normal,nan,1,0,0,0,65,60,55,32,94,19,472,0.3846202728759043,8.012984213356276,281,97.99152258786152,5258,78,3,0,5,13,1
Ice,nan,1,0,0,0,71,54,99,149,133,7,396,0.5859217675476981,78.02652952287038,217,6.212458870735035,8821,86,3,0,5,12,3
Ghost,nan,1,0,0,0,64,56,39,55,68,34,439,0.7582216192858129,-23.530066298142536,56,6.9538799443199775,5042,32,3,0,-1,10,1
Water,nan,1,0,0,0,33,12,22,77,98,29,417,0.8004604663006861,3.4301050836374003,246,3.4462475967954402,5252,244,3,0,4,12,2
Ice,Fairy,1,0,0,0,63,54,42,86,107,-4,471,0.46539345474031835,11.223258871172671,273,5.240462090289639,5758,42,3,1,6,12,2
Bug,nan,1,0,0,0,52,51,47,53,78,-6,416,0.7372988900965531,18.694825732623094,73,6.592710065078483,6143,87,3,1,4,9,2
Psychic,nan,1,0,0,0,41,37,24,92,107,69,334,0.03526540007337242,0.598464142675537,93,39.37265574177171,5253,227,3,0,3,9,2
Water,nan,1,0,0,0,123,88,85,152,59,16,517,0.887674053505316,-24.89151815630221,264,6.592897126239147,5486,250,4,0,3,9,4
Fighting,nan,1,0,0,0,50,32,26,83,88,2,486,1.1233735614651812,-2.3085279131279126,198,37.53678206200392,8477,62,3,0,3,12,1
