id,name,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,type_1,type_2,classification_info,forms,gen,is_legendary,is_mythical,is_ultra_beast,number_immune,number_not_effective,number_normal,number_super_effective,has_forms,abilities_count,base_stats_calc,base_stats_diff,source,umap_1,umap_2
1.0,Bulbasaur,45,49,49,65,65,45,318,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,204.0,0.7,15.2,6.9,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,,1,0,0,0,0,5,9,4,0.0,2,318.0,0.0,Real,8.082797,13.654397
2.0,Ivysaur,60,62,63,80,80,60,405,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,303.0,1.0,28.7,13.0,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,,1,0,0,0,0,5,9,4,0.0,2,405.0,0.0,Real,7.555103,13.777
3.0,Venusaur,80,82,83,100,100,80,525,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,607.0,2.0,220.5,100.0,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,Mega Venusaur,1,0,0,0,0,5,9,4,1.0,2,525.0,0.0,Real,6.3410254,13.32328
4.0,Charmander,39,52,43,60,50,65,309,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,200.0,0.6,18.7,8.5,45,88.1,5120,45,Blaze; Solar Power,Fire,None,Lizard,,1,0,0,0,0,6,9,3,0.0,2,309.0,0.0,Real,8.046134,14.129505
5.0,Charmeleon,58,64,58,80,65,80,405,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,307.0,1.1,41.9,19.0,45,88.1,5120,45,Blaze; Solar Power,Fire,None,Flame,,1,0,0,0,0,6,9,3,0.0,2,405.0,0.0,Real,7.633198,13.995237
6.0,Charizard,78,84,78,109,85,100,534,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,507.0,1.7,199.5,90.5,45,88.1,5120,45,Blaze; Solar Power,Fire,Flying,Flame,Mega Charizard X; Mega Charizard Y,1,0,0,0,1,6,8,3,1.0,2,534.0,0.0,Real,6.1676536,13.399202
7.0,Squirtle,44,48,65,50,64,43,314,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,108.0,0.5,19.8,9.0,45,88.1,5120,45,Rain Dish; Torrent,Water,None,Tiny Turtle,,1,0,0,0,0,4,12,2,0.0,2,314.0,0.0,Real,8.226464,13.906194
8.0,Wartortle,59,63,80,65,80,58,405,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,303.0,1.0,49.6,22.5,45,88.1,5120,45,Rain Dish; Torrent,Water,None,Turtle,,1,0,0,0,0,4,12,2,0.0,2,405.0,0.0,Real,7.926727,13.905405
9.0,Blastoise,79,83,100,85,105,78,530,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,503.0,1.6,188.5,85.5,45,88.1,5120,45,Rain Dish; Torrent,Water,None,Shellfish,Mega Blastoise,1,0,0,0,0,4,12,2,1.0,2,530.0,0.0,Real,6.798069,13.522894
10.0,Caterpie,45,30,35,20,20,45,195,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.3,6.4,2.9,255,5.0,3840,255,Available; Run Away; Shield Dust,Bug,None,Worm,,1,0,0,0,0,3,12,3,0.0,3,195.0,0.0,Real,10.215163,8.968904
