type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Grass,Poison,1,0,0,0,45,49,49,65,65,45,318,0.7,6.9,45,88.1,5120,45,2,0,5,9,4
Grass,Poison,1,0,0,0,60,62,63,80,80,60,405,1.0,13.0,45,88.1,5120,45,2,0,5,9,4
Grass,Poison,1,0,0,0,80,82,83,100,100,80,525,2.0,100.0,45,88.1,5120,45,2,0,5,9,4
Fire,None,1,0,0,0,39,52,43,60,50,65,309,0.6,8.5,45,88.1,5120,45,2,0,6,9,3
Fire,None,1,0,0,0,58,64,58,80,65,80,405,1.1,19.0,45,88.1,5120,45,2,0,6,9,3
Fire,Flying,1,0,0,0,78,84,78,109,85,100,534,1.7,90.5,45,88.1,5120,45,2,1,6,8,3
Water,None,1,0,0,0,44,48,65,50,64,43,314,0.5,9.0,45,88.1,5120,45,2,0,4,12,2
Water,None,1,0,0,0,59,63,80,65,80,58,405,1.0,22.5,45,88.1,5120,45,2,0,4,12,2
Water,None,1,0,0,0,79,83,100,85,105,78,530,1.6,85.5,45,88.1,5120,45,2,0,4,12,2
Bug,None,1,0,0,0,45,30,35,20,20,45,195,0.3,2.9,255,5.0,3840,255,3,0,3,12,3
Bug,None,1,0,0,0,50,20,55,25,25,30,205,0.7,9.9,120,5.0,3840,120,1,0,3,12,3
Bug,Flying,1,0,0,0,60,45,50,90,80,70,395,1.1,32.0,45,5.0,3840,45,3,1,3,9,5
Bug,Poison,1,0,0,0,40,35,30,20,20,50,195,0.3,3.2,255,5.0,3840,255,2,0,5,9,4
Bug,Poison,1,0,0,0,45,25,50,25,25,35,205,0.6,10.0,120,5.0,3840,120,1,0,5,9,4
Bug,Poison,1,0,0,0,65,90,40,45,80,75,395,1.0,29.5,45,5.0,3840,45,2,0,5,9,4
Normal,Flying,1,0,0,0,40,45,40,35,35,56,251,0.3,1.8,255,5.0,3840,255,3,2,2,11,3
Normal,Flying,1,0,0,0,63,60,55,50,50,71,349,1.1,30.0,120,5.0,3840,120,3,2,2,11,3
Normal,Flying,1,0,0,0,83,80,75,70,70,101,479,1.5,39.5,45,5.0,3840,45,3,2,2,11,3
Normal,None,1,0,0,0,30,56,35,25,35,72,253,0.3,3.5,255,5.0,3840,255,9,1,0,16,1
Normal,None,1,0,0,0,55,81,60,50,70,97,413,0.7,18.5,127,5.0,3840,127,9,1,0,16,1
Normal,Flying,1,0,0,0,40,60,30,31,31,70,262,0.3,2.0,255,5.0,3840,255,3,2,2,11,3
Normal,Flying,1,0,0,0,65,90,65,61,61,100,442,1.2,38.0,90,5.0,3840,90,3,2,2,11,3
Poison,None,1,0,0,0,35,60,44,40,54,55,288,2.0,6.9,255,5.0,5120,255,3,0,5,11,2
Poison,None,1,0,0,0,60,95,69,65,79,80,448,3.5,65.0,90,5.0,5120,90,3,0,5,11,2
Electric,None,1,0,0,0,35,55,40,50,50,90,320,0.4,6.0,190,5.0,2560,190,3,0,3,14,1
Electric,None,1,0,0,0,60,90,55,90,80,110,485,28.0,21.0,75,5.0,2560,75,6,0,3,14,1
Ground,None,1,0,0,0,50,75,85,20,30,40,300,0.6,12.0,255,5.0,5120,255,8,1,2,12,3
Ground,None,1,0,0,0,75,100,110,45,55,65,450,1.0,29.5,90,5.0,5120,90,8,1,2,12,3
Poison,None,1,0,0,0,55,47,52,40,40,41,275,0.4,7.0,235,0.0,5120,235,3,0,5,11,2
Poison,None,1,0,0,0,70,62,67,55,55,56,365,0.8,20.0,120,0.0,5120,120,3,0,5,11,2
Poison,Ground,1,0,0,0,90,92,87,75,85,76,505,1.3,60.0,45,0.0,5120,45,3,1,5,8,4
Poison,None,1,0,0,0,46,57,40,40,40,50,273,0.5,9.0,235,10.0,5120,235,3,0,5,11,2
Poison,None,1,0,0,0,61,72,57,55,55,65,365,0.9,19.5,120,10.0,5120,120,3,0,5,11,2
Poison,Ground,1,0,0,0,81,102,77,85,75,85,505,1.4,62.0,45,10.0,5120,45,3,1,5,8,4
Fairy,None,1,0,0,0,70,45,48,60,65,35,323,0.6,7.5,150,24.6,2560,150,4,1,3,12,2
Fairy,None,1,0,0,0,95,70,73,95,90,60,483,1.3,40.0,25,24.6,2560,25,4,1,3,12,2
Fire,None,1,0,0,0,38,41,40,50,65,65,299,0.6,9.9,190,24.6,5120,190,8,0,6,9,3
Fire,None,1,0,0,0,73,76,75,81,100,100,505,1.1,19.9,75,24.6,5120,75,8,0,6,9,3
Normal,Fairy,1,0,0,0,115,45,20,45,25,20,270,0.5,5.5,170,24.6,2560,170,4,2,2,12,2
Normal,Fairy,1,0,0,0,140,70,45,85,50,45,435,1.0,12.0,50,24.6,2560,50,4,2,2,12,2
Poison,Flying,1,0,0,0,40,45,35,30,40,55,245,0.8,7.5,255,5.0,3840,255,3,1,5,8,4
